"emoji","name","keywords","category"
"🚷","no pedestrians","forbidden, no, not, pedestrian, pedestrians, prohibited","Symbols"
"📵","no mobile phones","cell, forbidden, mobile, no, not, phone, phones, prohibited, telephone","Symbols"
"🔞","no one under eighteen","18, age, eighteen, forbidden, no, not, one, prohibited, restriction, underage","Symbols"
"☢","radioactive","radioactive, sign","Symbols"
"☣","biohazard","biohazard, sign","Symbols"
"⬆","up arrow","arrow, cardinal, direction, north, up","Symbols"
"↗","up-right arrow","arrow, direction, intercardinal, northeast, up-right","Symbols"
"➡","right arrow","arrow, cardinal, direction, east, right","Symbols"
"↘","down-right arrow","arrow, direction, down-right, intercardinal, southeast","Symbols"
"⬇","down arrow","arrow, cardinal, direction, down, south","Symbols"
"↙","down-left arrow","arrow, direction, down-left, intercardinal, southwest","Symbols"
"⬅","left arrow","arrow, cardinal, direction, left, west","Symbols"
"↖","up-left arrow","arrow, direction, intercardinal, northwest, up-left","Symbols"
"↕","up-down arrow","arrow, up-down","Symbols"
"↔","left-right arrow","arrow, left-right","Symbols"
"↮","left right arrow stroke","arrow, left, right, stroke",""
"↩","right arrow curving left","arrow, curving, left, right","Symbols"
"↪","left arrow curving right","arrow, curving, left, right","Symbols"
"⤴","right arrow curving up","arrow, curving, right, up","Symbols"
"⤵","right arrow curving down","arrow, curving, down, right","Symbols"
"🔃","clockwise vertical arrows","arrow, arrows, clockwise, refresh, reload, vertical","Symbols"
"🔄","counterclockwise arrows button","again, anticlockwise, arrow, arrows, button, counterclockwise, deja, refresh, rewindershins, vu","Symbols"
"🔙","BACK arrow","arrow, BACK","Symbols"
"🔚","END arrow","arrow, END","Symbols"
"🔛","ON! arrow","arrow, mark, ON!","Symbols"
"🔜","SOON arrow","arrow, brb, omw, SOON","Symbols"
"🔝","TOP arrow","arrow, homie, TOP, up","Symbols"
"🛐","place of worship","place, pray, religion, worship","Symbols"
"⚛","atom symbol","atheist, atom, symbol","Symbols"
"🕉","om","Hindu, om, religion","Symbols"
"✡","star of David","David, Jew, Jewish, judaism, religion, star","Symbols"
"☸","wheel of dharma","Buddhist, dharma, religion, wheel","Symbols"
"☯","yin yang","difficult, lives, religion, tao, taoist, total, yang, yin, yinyang","Symbols"
"✝","latin cross","christ, Christian, cross, latin, religion","Symbols"
"☦","orthodox cross","Christian, cross, orthodox, religion","Symbols"
"☪","star and crescent","crescent, islam, Muslim, ramadan, religion, star","Symbols"
"☮","peace symbol","healing, peace, peaceful, symbol","Symbols"
"🕎","menorah","candelabrum, candlestick, hanukkah, jewish, judaism, menorah, religion","Symbols"
"🔯","dotted six-pointed star","dotted, fortune, jewish, judaism, six-pointed, star","Symbols"
"🪯","khanda","Deg, Fateh, Khalsa, Khanda, religion, Sikh, Sikhism, Tegh","Symbols"
"♈","Aries","Aries, horoscope, ram, zodiac","Symbols"
"♉","Taurus","bull, horoscope, ox, Taurus, zodiac","Symbols"
"♊","Gemini","Gemini, horoscope, twins, zodiac","Symbols"
"♋","Cancer","Cancer, crab, horoscope, zodiac","Symbols"
"♌","Leo","horoscope, Leo, lion, zodiac","Symbols"
"♍","Virgo","horoscope, Virgo, zodiac","Symbols"
"♎","Libra","balance, horoscope, justice, Libra, scales, zodiac","Symbols"
"♏","Scorpio","horoscope, Scorpio, scorpion, Scorpius, zodiac","Symbols"
"♐","Sagittarius","archer, horoscope, Sagittarius, zodiac","Symbols"
"♑","Capricorn","Capricorn, goat, horoscope, zodiac","Symbols"
"♒","Aquarius","Aquarius, bearer, horoscope, water, zodiac","Symbols"
"♓","Pisces","fish, horoscope, Pisces, zodiac","Symbols"
"⛎","Ophiuchus","bearer, Ophiuchus, serpent, snake, zodiac","Symbols"
"🔀","shuffle tracks button","arrow, button, crossed, shuffle, tracks","Symbols"
"🔁","repeat button","arrow, button, clockwise, repeat","Symbols"
"🔂","repeat single button","arrow, button, clockwise, once, repeat, single","Symbols"
"▶","play button","arrow, button, play, right, triangle","Symbols"
"⏩","fast-forward button","arrow, button, double, fast, fast-forward, forward","Symbols"
"⏭","next track button","arrow, button, next, scene, track, triangle","Symbols"
"⏯","play or pause button","arrow, button, pause, play, right, triangle","Symbols"
"◀","reverse button","arrow, button, left, reverse, triangle","Symbols"
"⏪","fast reverse button","arrow, button, double, fast, reverse, rewind","Symbols"
"⏮","last track button","arrow, button, last, previous, scene, track, triangle","Symbols"
"🔼","upwards button","arrow, button, red, up, upwards","Symbols"
"⏫","fast up button","arrow, button, double, fast, up","Symbols"
"🔽","downwards button","arrow, button, down, downwards, red","Symbols"
"⏬","fast down button","arrow, button, double, down, fast","Symbols"
"⏸","pause button","bar, button, double, pause, vertical","Symbols"
"⏹","stop button","button, square, stop","Symbols"
"⏺","record button","button, circle, record","Symbols"
"⏏","eject button","button, eject","Symbols"
"🎦","cinema","camera, cinema, film, movie","Symbols"
"🔅","dim button","brightness, button, dim, low","Symbols"
"🔆","bright button","bright, brightness, button, light","Symbols"
"📶","antenna bars","antenna, bar, bars, cell, communication, mobile, phone, signal, telephone","Symbols"
"🛜","wireless","broadband, computer, connectivity, hotspot, internet, network, router, smartphone, wi-fi, wifi, wireless, wlan","Symbols"
"📳","vibration mode","cell, communication, mobile, mode, phone, telephone, vibration","Symbols"
"📴","mobile phone off","cell, mobile, off, phone, telephone","Symbols"
"♀","female sign","female, sign, woman","Symbols"
"♂","male sign","male, man, sign","Symbols"
"⚧","transgender symbol","symbol, transgender","Symbols"
"✖","multiply","×, cancel, multiplication, multiply, sign, x","Symbols"
"➕","plus","+, plus","Symbols"
"➖","minus","-, −, heavy, math, minus, sign","Symbols"
"➗","divide","÷, divide, division, heavy, math, sign","Symbols"
"🟰","heavy equals sign","answer, equal, equality, equals, heavy, math, sign","Symbols"
"♾","infinity","forever, infinity, unbounded, universal","Symbols"
"‼","double exclamation mark","!, !!, bangbang, double, exclamation, mark, punctuation","Symbols"
"⁉","exclamation question mark","!, !?, ?, exclamation, interrobang, mark, punctuation, question","Symbols"
"❓","red question mark","?, mark, punctuation, question, red","Symbols"
"❔","white question mark","?, mark, outlined, punctuation, question, white","Symbols"
"❕","white exclamation mark","!, exclamation, mark, outlined, punctuation, white","Symbols"
"❗","red exclamation mark","!, exclamation, mark, punctuation, red","Symbols"
"〰","wavy dash","dash, punctuation, wavy","Symbols"
"💱","currency exchange","bank, currency, exchange, money","Symbols"
"💲","heavy dollar sign","billion, cash, charge, currency, dollar, heavy, million, money, pay, sign","Symbols"
"⚕","medical symbol","aesculapius, medical, medicine, staff, symbol","Symbols"
"♻","recycling symbol","recycle, recycling, symbol","Symbols"
"⚜","fleur-de-lis","fleur-de-lis, knights","Symbols"
"🔱","trident emblem","anchor, emblem, poseidon, ship, tool, trident","Symbols"
"📛","name badge","badge, name","Symbols"
"🔰","Japanese symbol for beginner","beginner, chevron, green, Japanese, leaf, symbol, tool, yellow","Symbols"
"⭕","hollow red circle","circle, heavy, hollow, large, o, red","Symbols"
"✅","check mark button","✓, button, check, checked, checkmark, complete, completed, done, fixed, mark, tick","Symbols"
"☑","check box with check","✓, ballot, box, check, checked, done, off, tick","Symbols"
"✔","check mark","✓, check, checked, checkmark, done, heavy, mark, tick","Symbols"
"❌","cross mark","×, cancel, cross, mark, multiplication, multiply, x","Symbols"
"❎","cross mark button","×, button, cross, mark, multiplication, multiply, square, x","Symbols"
"➰","curly loop","curl, curly, loop","Symbols"
"➿","double curly loop","curl, curly, double, loop","Symbols"
"〽","part alternation mark","alternation, mark, part","Symbols"
"✳","eight-spoked asterisk","*, asterisk, eight-spoked","Symbols"
"✴","eight-pointed star","*, eight-pointed, star","Symbols"
"❇","sparkle","*, sparkle","Symbols"
"©","copyright","C, copyright","Symbols"
"®","registered","R, registered","Symbols"
"™","trade mark","mark, TM, trade, trademark","Symbols"
"🫟","splatter","drip, holi, ink, liquid, mess, paint, spill, splatter, stain","Symbols"
"🔠","input latin uppercase","ABCD, input, latin, letters, uppercase","Symbols"
"🔡","input latin lowercase","abcd, input, latin, letters, lowercase","Symbols"
"🔢","input numbers","1234, input, numbers","Symbols"
"🔣","input symbols","&, %, ♪, 〒, input, symbols","Symbols"
"🔤","input latin letters","abc, alphabet, input, latin, letters","Symbols"
"🅰","A button (blood type)","blood, button, type","Symbols"
"🆎","AB button (blood type)","AB, blood, button, type","Symbols"
"🅱","B button (blood type)","B, blood, button, type","Symbols"
"🆑","CL button","button, CL","Symbols"
"🆒","COOL button","button, COOL","Symbols"
"🆓","FREE button","button, FREE","Symbols"
"ℹ","information","I, information","Symbols"
"🆔","ID button","button, ID, identity","Symbols"
"Ⓜ","circled M","circle, circled, M","Symbols"
"🆕","NEW button","button, NEW","Symbols"
"🆖","NG button","button, NG","Symbols"
"🅾","O button (blood type)","blood, button, O, type","Symbols"
"🆗","OK button","button, OK, okay","Symbols"
"🅿","P button","button, P, parking","Symbols"
"🆘","SOS button","button, help, SOS","Symbols"
"🆙","UP! button","button, mark, UP, UP!","Symbols"
"🆚","VS button","button, versus, VS","Symbols"
"🈁","Japanese “here” button","button, here, Japanese, katakana","Symbols"
"🈂","Japanese “service charge” button","button, charge, Japanese, katakana, service","Symbols"
"🈷","Japanese “monthly amount” button","amount, button, ideograph, Japanese, monthly","Symbols"
"🈶","Japanese “not free of charge” button","button, charge, free, ideograph, Japanese, not","Symbols"
"🈯","Japanese “reserved” button","button, ideograph, Japanese, reserved","Symbols"
"🉐","Japanese “bargain” button","bargain, button, ideograph, Japanese","Symbols"
"🈹","Japanese “discount” button","button, discount, ideograph, Japanese","Symbols"
"🈚","Japanese “free of charge” button","button, charge, free, ideograph, Japanese","Symbols"
"🈲","Japanese “prohibited” button","button, ideograph, Japanese, prohibited","Symbols"
"🉑","Japanese “acceptable” button","acceptable, button, ideograph, Japanese","Symbols"
"🈸","Japanese “application” button","application, button, ideograph, Japanese","Symbols"
"🈴","Japanese “passing grade” button","button, grade, ideograph, Japanese, passing","Symbols"
"🈳","Japanese “vacancy” button","button, ideograph, Japanese, vacancy","Symbols"
"㊗","Japanese “congratulations” button","button, congratulations, ideograph, Japanese","Symbols"
"㊙","Japanese “secret” button","button, ideograph, Japanese, secret","Symbols"
"🈺","Japanese “open for business” button","business, button, ideograph, Japanese, open","Symbols"
"🈵","Japanese “no vacancy” button","button, ideograph, Japanese, no, vacancy","Symbols"
"🔴","red circle","circle, geometric, red","Symbols"
"🟠","orange circle","circle, orange","Symbols"
"🟡","yellow circle","circle, yellow","Symbols"
"🟢","green circle","circle, green","Symbols"
"🔵","blue circle","blue, circle, geometric","Symbols"
"🟣","purple circle","circle, purple","Symbols"
"🟤","brown circle","brown, circle","Symbols"
"⚫","black circle","black, circle, geometric","Symbols"
"⚪","white circle","circle, geometric, white","Symbols"
"🟥","red square","card, penalty, red, square","Symbols"
"🟧","orange square","orange, square","Symbols"
"🟨","yellow square","card, penalty, square, yellow","Symbols"
"🟩","green square","green, square","Symbols"
"🟦","blue square","blue, square","Symbols"
"🟪","purple square","purple, square","Symbols"
"🟫","brown square","brown, square","Symbols"
"⬛","black large square","black, geometric, large, square","Symbols"
"⬜","white large square","geometric, large, square, white","Symbols"
"◼","black medium square","black, geometric, medium, square","Symbols"
"◻","white medium square","geometric, medium, square, white","Symbols"
"◾","black medium-small square","black, geometric, medium-small, square","Symbols"
"◽","white medium-small square","geometric, medium-small, square, white","Symbols"
"▪","black small square","black, geometric, small, square","Symbols"
"▫","white small square","geometric, small, square, white","Symbols"
"🔶","large orange diamond","diamond, geometric, large, orange","Symbols"
"🔷","large blue diamond","blue, diamond, geometric, large","Symbols"
"🔸","small orange diamond","diamond, geometric, orange, small","Symbols"
"🔹","small blue diamond","blue, diamond, geometric, small","Symbols"
"🔺","red triangle pointed up","geometric, pointed, red, triangle, up","Symbols"
"🔻","red triangle pointed down","down, geometric, pointed, red, triangle","Symbols"
"💠","diamond with a dot","comic, diamond, dot, geometric","Symbols"
"🔘","radio button","button, geometric, radio","Symbols"
"🔳","white square button","button, geometric, outlined, square, white","Symbols"
"🔲","black square button","black, button, geometric, square","Symbols"
"🏁","chequered flag","checkered, chequered, finish, flag, flags, game, race, racing, sport, win","Flags"
"🚩","triangular flag","construction, flag, golf, post, triangular","Flags"
"🎌","crossed flags","celebration, cross, crossed, flags, Japanese","Flags"
"🏴","black flag","black, flag, waving","Flags"
"🏳","white flag","flag, waving, white","Flags"
"🏳‍🌈","rainbow flag","bisexual, flag, gay, genderqueer, glbt, glbtq, lesbian, lgbt, lgbtq, lgbtqia, pride, queer, rainbow, trans, transgender","Flags"
"🏳‍⚧","transgender flag","blue, flag, light, pink, transgender, white","Flags"
"🏴‍☠","pirate flag","flag, Jolly, pirate, plunder, Roger, treasure","Flags"
"¢","cent","cent",""
"$","dollar","dollar, money, peso, USD",""
"£","pound","currency, EGP, GBP, pound",""
"¥","yen","CNY, currency, JPY, yen, yuan",""
"₢","cruzeiro","BRB, cruzeiro, currency",""
"₣","french franc","currency, franc, french",""
"₤","lira","currency, lira",""
"₥","mill","mil, mill",""
"₩","won","KPW, KRW, won",""
"€","euro","currency, EUR, euro",""
"₰","german penny","currency, german, penny, pfennig",""
"₱","peso","peso",""
"₳","austral","ARA, austral, currency",""
"₶","livre tournois","currency, livre, tournois",""
"₷","spesmilo","currency, spesmilo",""
"₹","indian rupee","currency, indian, rupee",""
"₽","ruble","currency, ruble",""
"₿","bitcoin","bitcoin, BTC",""
"¹","superscript one","one, superscript",""
"²","superscript two","squared, superscript, two",""
"³","superscript three","cubed, superscript, three",""
"₨","rupee","currency, rupee",""
"µ","micro sign","measure, micro, sign",""
"﷼","rial","currency, rial",""
